世界欠我一个你,是世界欠的,不是你,思念;伤感;怀旧,212405,3135
400首好听的英文歌,欧美;怀旧;流行,62830,1366
爱情公寓大电影丨原班人马十年重聚,华语;怀旧;90后,384643,6942
村上春树《挪威的森林》原著所提音乐合集,怀旧;孤独,1081729,28502
「Bluegrass」留声机里永存的时代之音,欧美;乡村;怀旧,433426,3566
苏维埃进行曲——气氛突然苏维埃起来！,民族;怀旧;游戏,166020,2798
在听这些歌时你已热泪盈眶。,华语;欧美;怀旧,140329,1681
太一 热门50单曲,流行;怀旧;伤感,2407212,56204
KR·工团主义,小语种;怀旧;游戏,7029,189
一个双鱼座的听歌列表,工作;怀旧;翻唱,1250582,11651
Camping Club JTBC韩综 （持更）,旅行;怀旧;90后,8087,291
【大江大河】1978-2018,华语;影视原声;怀旧,59075,286
电影配乐 | 黑暗美学中的荒诞主义,欧美;怀旧;影视原声,201119,4969
当6L6WGC单端胆机邂逅12寸Trio古董号角,放松;怀旧;夜晚,407205,8264
年 代 感 蒸 汽 波,怀旧;放松,547157,20366
血缘诅咒原声带,游戏;经典;怀旧,40730,841
文艺复兴 | 水生万物，古巴比伦消亡史,欧美;地铁;怀旧,162240,2117
全世界都在催你长大，而我愿守护着你的童心,华语;流行;怀旧,133844,4998
魔兽世界经典BGM,怀旧;游戏;网络歌曲,58004,1101
晚安曲：圣玛利亚,怀旧;夜晚;流行,2585353,76797
大小谎言第二季 插曲（已完结）,欧美;影视原声;怀旧,98450,2823
暗潮 中世纪 哥特 异教 仙音,夜晚;怀旧;伤感,486719,21580
百听不厌！精选怀旧经典英文英语老歌200首,欧美;酒吧;怀旧,146070,2701
百听不厌的经典英文老歌,经典;欧美;怀旧,10199546,22万
魔兽世界十五周年,怀旧;游戏;ACG,406046,14414
「睡前一杯百利甜」电子|人声采样,电子;另类/独立;怀旧,207621,3343
好听的Lo-Fi和蒸汽波波～,孤独;怀旧;夜晚,8236,290
【綺夢曼波】放克节奏 & 复古电子,欧美;舞曲;怀旧,633404,14673
【气突苏】气氛突然苏维埃了起来？！,小语种;经典;怀旧,38638,482
老梁故事汇精选,怀旧,761786,8100
★那些雄伟的苏维埃歌曲★,怀旧;经典;民族,112831,4090
1-61届格莱美年度最佳单曲（珍藏版）,欧美;旅行;怀旧,13133174,37万
VaporWave | 晚霞男孩的手写情书,电子;另类/独立;怀旧,155268,1351
最经典的世界杯主题曲合集(1982至2018),欧美;怀旧;运动,56379,699
「知鱼集」缄默是荒唐的过往,后摇;夜晚;怀旧,2132,57
野区歌神の翻唱原曲,华语;流行;怀旧,59999,795
毛不易薛之谦「愿所有深情不被辜负」,华语;流行;怀旧,440780,7781
微博上那些好听的歌。,华语;怀旧;感动,971072,12083
阿司匹林博物館,另类/独立;Bossa Nova;怀旧,158169,3055
那些校园广播的经典英语老歌,欧美;怀旧;校园,10746,247
蒸 汽 波 美 少 你,电子;怀旧;另类/独立,95611,3180
蝙蝠侠各版本主旋律音乐,怀旧;欧美;影视原声,71192,1528
洗澡时非常适合听蒸汽波,电子;怀旧;放松,3040219,10万
千禧一代PC玩家的游戏原声 第二辑：古典,古典;怀旧;游戏,78122,538
怀旧、时光已经老去,摇滚;怀旧;经典,249449,303
